Reservoir,Site,DateTime,Depth_m,TFe_mgL,TMn_mgL,SFe_mgL,SMn_mgL,Flag_DateTime,Flag_TFe,Flag_TMn,Flag_SFe,Flag_SMn
FCR,50,2014-06-16 12:00:00,0.1,0.2667,0.00997,0.2667,0.00997,1,0,0,0,0
FCR,50,2014-06-16 12:00:00,0.8,0.2625,0.00999,0.2625,0.00424,1,0,0,0,0
FCR,50,2014-06-16 12:00:00,1.6,0.2485,0.01036,0.2485,0.0047,1,0,0,0,0
FCR,50,2014-06-16 12:00:00,2.8,0.3091,0.01224,0.3006,0.00409,1,0,0,0,0
FCR,50,2014-06-16 12:00:00,3.8,0.4648,0.0981,0.4505,0.05309,1,0,0,0,0
FCR,50,2014-06-16 12:00:00,5,0.6177,0.4306,0.6177,0.39687,1,0,0,0,0
FCR,50,2014-06-16 12:00:00,6.2,0.7356,0.515,0.7356,0.452,1,0,0,0,0
FCR,50,2014-06-16 12:00:00,8,1.478,1.213,1.474,1.1295,1,0,0,0,0
FCR,50,2014-06-16 12:00:00,9,1.363,1.208,1.363,1.19374,1,0,0,0,0
BVR,50,2014-06-18 12:00:00,0.1,0.3314,0.0144,0.3314,0.0144,1,0,0,0,0
BVR,50,2014-06-18 12:00:00,4,0.3114,0.0314,0.3114,0.0314,1,0,0,0,0
BVR,50,2014-06-18 12:00:00,8,0.6705,0.3521,0.6705,0.3521,1,0,0,0,0
BVR,50,2014-06-18 12:00:00,12,35.85,2.544,35.85,2.524,1,0,0,0,0
FCR,50,2014-06-23 12:00:00,0.1,0.3392,0.0122,0.3392,0.0069,1,0,0,0,0
FCR,50,2014-06-23 12:00:00,0.8,0.3421,0.01316,0.3421,0.00521,1,0,0,0,0
FCR,50,2014-06-23 12:00:00,1.6,0.3498,0.01292,0.3498,0.00496,1,0,0,0,0
FCR,50,2014-06-23 12:00:00,2.8,0.3628,0.01428,0.3126,0.00444,1,0,0,0,0
FCR,50,2014-06-23 12:00:00,3.8,0.5598,0.09482,0.5014,0.04724,1,0,0,0,0
FCR,50,2014-06-23 12:00:00,5,0.5843,0.3464,0.5843,0.32552,1,0,0,0,0
FCR,50,2014-06-23 12:00:00,6.2,1.091,0.663,1.091,0.58737,1,0,0,0,0
FCR,50,2014-06-23 12:00:00,8,2.752,1.492,2.449,1.29676,1,0,0,0,0
FCR,50,2014-06-23 12:00:00,9,3.207,1.889,3.207,1.889,1,0,0,0,0
BVR,50,2014-06-25 12:00:00,0.1,0.4142,0.0174,0.4142,0.0174,1,0,0,0,0
BVR,50,2014-06-25 12:00:00,4,0.3847,0.0355,0.3756,0.0355,1,0,0,0,0
BVR,50,2014-06-25 12:00:00,8,0.6962,0.5176,0.6962,0.5165,1,0,0,0,0
BVR,50,2014-06-25 12:00:00,12,64.7,3.474,59.77,3.258,1,0,0,0,0
FCR,50,2014-06-29 12:00:00,0.1,0.3599,0.01307,0.1386,0.00332,1,0,0,0,0
FCR,50,2014-06-29 12:00:00,0.8,0.3502,0.0127,0.1708,0.0034,1,0,0,0,0
FCR,50,2014-06-29 12:00:00,1.6,0.3401,0.01286,0.1066,0.00156,1,0,0,0,0
FCR,50,2014-06-29 12:00:00,2.8,0.4138,0.01754,0.1126,0.00239,1,0,0,0,0
FCR,50,2014-06-29 12:00:00,3.8,0.4195,0.06186,0.1058,0.03587,1,0,0,0,0
